external_id,front_image,back_text
0159,D/D-27.svg,kawiarnia lub bufet
0160,D/D-28.svg,restauracja
0161,D/D-29.svg,hotel/motel
0162,D/D-30.svg,kemping
0163,D/D-31.svg,kemping z prądem
0164,D/D-32.svg,pole biwakowe
0165,D/D-33.svg,schronisko młodzieżowe
0166,D/D-34.svg,informacja turystyczna
0167,D/D-34a.svg,radio drogowe
0168,D/D-34b.svg,zbiorcza tablica informacyjna
0169,D/D-35.svg,przejście podziemne
0170,D/D-35a.svg,schody ruchome w dół
0171,D/D-36.svg,przejście nadziemne
0172,D/D-36a.svg,schody ruchome w górę
0173,D/D-37.svg,tunel
0175,D/D-39a.svg,opłaty drogowe
0176,D/D-40.svg,strefa zamieszkania
0178,D/D-42.svg,obszar zabudowany
0180,D/D-44.svg,strefa płatnego parkowania
0182,D/D-46.svg,droga wewnętrzna
0184,D/D-48.svg,zmiana pierwszeństwa
0185,D/D-48a.svg,zmiana pierwszeństwa
0186,D/D-49.svg,pobór opłat
0187,D/D-50.svg,zatoka
0188,D/D-51.svg,fotoradar
0189,D/D-51aa.svg,odcinkowy pomiar prędkości
0191,D/D-52.svg,strefa ruchu
